K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
7,0.001,1e-05,64,1,0.0013172850012779236,0.44024449586868286,1.0644776
5,0.005,5e-05,32,1,0.0007630345644429326,0.3507939577102661,1.0651487
6,0.005,1e-05,64,2,0.0006411215290427208,0.31667977571487427,1.067885
8,0.005,5e-05,64,3,0.0007664666627533734,0.3530368506908417,1.0707943
6,0.001,5e-05,64,1,0.0013474603183567524,0.46113958954811096,1.0730207
5,0.001,1e-05,64,1,0.000930272857658565,0.3794526755809784,1.0835527
6,0.005,0.0005,32,1,0.0011327923275530338,0.4271693825721741,1.0865555
5,0.001,0.0001,32,3,0.001419351901859045,0.4634018540382385,1.0893189
7,0.001,0.0001,128,1,0.001135755330324173,0.41493090987205505,1.0950078
8,0.001,0.0005,64,1,0.001524343271739781,0.4781207740306854,1.0950421
6,0.005,0.0005,128,1,0.001807864522561431,0.5154138803482056,1.1051799
7,0.001,0.0005,32,3,0.0014536363305523992,0.4875914752483368,1.1092932
5,0.001,1e-05,32,3,0.000899854174349457,0.3760109543800354,1.111239
6,0.005,5e-05,32,2,0.0006904846522957087,0.3286580741405487,1.1120574
6,0.001,0.0005,128,1,0.0018561300821602345,0.52659010887146,1.1139594
8,0.001,0.0001,32,3,0.0013990411534905434,0.47000211477279663,1.1166687
7,0.01,1e-05,64,2,0.0006789732142351568,0.3216506242752075,1.1287397
8,0.001,5e-05,32,3,0.0008467579609714448,0.3599565923213959,1.1322657
7,0.001,1e-05,32,3,0.0006486279889941216,0.31936028599739075,1.1444536
5,0.001,0.0005,32,3,0.0018402721034362912,0.5263825058937073,1.1449299
6,0.001,0.0005,64,1,0.0016473199939355254,0.5165160894393921,1.1554558
6,0.001,0.0001,32,3,0.0016655069775879383,0.49432939291000366,1.1563085
5,0.001,1e-05,32,2,0.0009619590127840638,0.39380180835723877,1.1579052
5,0.005,0.0005,128,1,0.0010379841551184654,0.4057389199733734,1.158956
8,0.001,0.0001,32,2,0.0008221511379815638,0.35712766647338867,1.1625159
8,0.001,1e-05,32,2,0.0008589911740273237,0.3662553131580353,1.1635852
8,0.001,1e-05,32,3,0.0007408458041027188,0.3265484571456909,1.174752
5,0.001,5e-05,32,3,0.0014120895648375154,0.46027323603630066,1.1760017
5,0.001,0.0005,64,1,0.0023335199803113937,0.5633765459060669,1.177562
6,0.001,1e-05,64,3,0.0007251171045936644,0.33318057656288147,1.1796633
6,0.001,0.0005,32,3,0.0015283902175724506,0.4838326871395111,1.1823459
7,0.001,0.0001,64,1,0.0012015423271805048,0.4145301878452301,1.1882591
5,0.005,1e-05,64,1,0.0008079170947894454,0.3609730899333954,1.1915953
8,0.001,1e-05,64,1,0.0006976622971706092,0.3339991569519043,1.205757
6,0.001,1e-05,64,2,0.0009561664192005992,0.3828926384449005,1.2454891
7,0.001,5e-05,64,3,0.0008154915412887931,0.3384495973587036,1.247574
7,0.001,0.0001,64,3,0.0009350735344924033,0.3585361838340759,1.2498989
8,0.005,0.0005,64,2,0.0015360744437202811,0.48756858706474304,1.2572848
7,0.001,0.0005,64,1,0.001274310750886798,0.44321486353874207,1.2628284
5,0.01,0.0001,32,1,0.0007347727660089731,0.3365551829338074,1.265561
8,0.005,0.0001,64,3,0.000891170057002455,0.37281113862991333,1.2683768
8,0.001,0.0001,64,1,0.0014031636528670788,0.4707942008972168,1.2684288
8,0.001,5e-05,64,1,0.0011444332776591182,0.43062078952789307,1.2694199
8,0.001,0.0001,128,2,0.0010710889473557472,0.39397814869880676,1.2754947
6,0.001,5e-05,32,3,0.0008351668948307633,0.3485577702522278,1.3008497
6,0.005,5e-05,32,1,0.0006763097480870783,0.32579541206359863,1.312886
6,0.001,0.0001,64,2,0.0010355005506426096,0.4027010500431061,1.3142883
8,0.005,5e-05,32,1,0.0008317227475345135,0.3572019934654236,1.3219297
8,0.005,0.0005,32,1,0.0010832824045792222,0.40526482462882996,1.3310504
5,0.01,0.0001,64,1,0.0007818678277544677,0.34757933020591736,1.3395941
6,0.005,5e-05,64,2,0.0008848089491948485,0.3586046099662781,1.3470336
8,0.005,0.0005,64,1,0.0015105861239135265,0.4692954421043396,1.361894
8,0.005,1e-05,32,3,0.0005422420217655599,0.2952911853790283,1.3697438
6,0.005,0.0001,32,1,0.0006617850158363581,0.32548657059669495,1.3711205
6,0.001,0.0005,64,2,0.0013577744830399752,0.47356492280960083,1.374813
7,0.001,5e-05,32,3,0.0007377118454314768,0.3376527726650238,1.3753475
7,0.01,5e-05,64,1,0.000854919315315783,0.3515163064002991,1.3764201
5,0.001,0.0005,64,2,0.0010996130295097828,0.4134511947631836,1.3800548
5,0.005,5e-05,64,1,0.0007618207018822432,0.3436340391635895,1.3918042
7,0.001,5e-05,64,2,0.0007345075719058514,0.3459714949131012,1.409217
8,0.001,0.0001,64,3,0.0006819927366450429,0.32403042912483215,1.4128083
5,0.001,5e-05,64,3,0.0011178136337548494,0.40529125928878784,1.4157418
7,0.001,1e-05,128,2,0.0006293213227763772,0.31445199251174927,1.4176502
8,0.001,5e-05,64,3,0.0010405646171420813,0.40265974402427673,1.4340549
6,0.001,1e-05,32,3,0.0007493668235838413,0.33509114384651184,1.4385625
5,0.001,1e-05,128,1,0.0007052400032989681,0.3225363790988922,1.4409894
7,0.001,0.0005,64,3,0.0014223228208720684,0.45508190989494324,1.4439107
8,0.001,0.0005,64,2,0.00142361328471452,0.457910418510437,1.4706612
6,0.001,5e-05,64,3,0.0008319493499584496,0.35865849256515503,1.4726089
7,0.01,0.0005,32,2,0.0011669436935335398,0.42432889342308044,1.478697
5,0.005,0.0001,32,1,0.000776560278609395,0.3526410758495331,1.4821339
7,0.001,1e-05,64,2,0.0008301754714921117,0.3535756766796112,1.4849571
8,0.01,0.0005,32,1,0.0015083309262990952,0.4800979197025299,1.4935557
5,0.001,1e-05,128,2,0.0006760405958630145,0.3216550350189209,1.5032183
6,0.005,0.0005,64,2,0.001764562213793397,0.5227992534637451,1.5134462
5,0.001,0.0001,64,2,0.0007539025391452014,0.3475574851036072,1.5179741
8,0.001,0.0005,128,2,0.0012684313114732504,0.4257475435733795,1.5293876
5,0.001,5e-05,128,3,0.0008094452205114067,0.3542507588863373,1.5458435
5,0.001,0.0005,64,3,0.0017177483532577753,0.5097910165786743,1.555493
8,0.001,0.0001,64,2,0.0011517974780872464,0.40265777707099915,1.5596976
