K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
5,0.005,1e-05,128,2,0.0010314738610759377,0.40857598185539246,0.46059730648994446
5,0.001,1e-05,128,2,0.0011012217728421092,0.40905433893203735,0.46618321537971497
5,0.005,0.0001,32,1,0.0011208063224330544,0.4092023968696594,0.46376824378967285
8,0.01,1e-05,64,2,0.0010819226736202836,0.4094480872154236,0.4418949484825134
5,0.005,1e-05,64,3,0.0011063908459618688,0.40960589051246643,0.48627999424934387
8,0.001,0.0001,32,2,0.0010983413085341454,0.40963324904441833,0.393993616104126
8,0.001,1e-05,32,1,0.0012048083590343595,0.4098573923110962,0.40618011355400085
7,0.001,5e-05,128,1,0.0011218623258173466,0.41019752621650696,0.4021185338497162
8,0.001,5e-05,64,3,0.0010978011414408684,0.4103538990020752,0.3935126066207886
7,0.001,0.0001,64,2,0.0012212684378027916,0.41062283515930176,0.44941917061805725
6,0.001,5e-05,128,3,0.0011237113503739238,0.41095006465911865,0.39987969398498535
5,0.01,1e-05,64,2,0.0011216639541089535,0.4109535217285156,0.5875635147094727
6,0.005,5e-05,128,2,0.0011471473844721913,0.41107675433158875,0.41962045431137085
7,0.005,0.0001,64,1,0.0011034971103072166,0.41150718927383423,0.4578726291656494
7,0.001,5e-05,128,2,0.0011772045399993658,0.4117908775806427,0.4450914263725281
8,0.001,1e-05,64,3,0.0011337237665429711,0.4121944010257721,0.3860135078430176
5,0.005,5e-05,32,2,0.0011802042135968804,0.4130224883556366,0.44714033603668213
5,0.005,5e-05,128,1,0.0010924318339675665,0.4130387008190155,0.5263931155204773
5,0.01,0.0001,128,2,0.0011398198548704386,0.4137224555015564,0.6065670251846313
7,0.01,1e-05,64,1,0.0011345057282596827,0.4137626886367798,0.5228778719902039
8,0.001,5e-05,64,2,0.0011409641010686755,0.41458895802497864,0.4070179760456085
5,0.01,1e-05,64,1,0.0010884262155741453,0.414966344833374,0.48803356289863586
5,0.005,5e-05,64,1,0.0010831736726686358,0.4150182008743286,0.45066598057746887
6,0.005,1e-05,128,3,0.00117751385550946,0.41516780853271484,0.4582673907279968
7,0.005,1e-05,128,3,0.001062488416209817,0.4152008593082428,0.459302693605423
8,0.01,1e-05,32,2,0.0011846000561490655,0.4152323305606842,0.4091327488422394
5,0.005,0.0001,128,2,0.0011976455571129918,0.41532763838768005,0.5154888033866882
7,0.001,0.0001,64,1,0.0011690749088302255,0.41544219851493835,0.3999958038330078
5,0.005,5e-05,32,3,0.0012026511831209064,0.41551584005355835,0.47062861919403076
6,0.01,0.0001,32,3,0.0011356754694133997,0.41578230261802673,0.4173029065132141
5,0.001,1e-05,128,1,0.001149918301962316,0.41594985127449036,0.4718712866306305
6,0.01,1e-05,32,2,0.0010689806658774614,0.41604745388031006,0.3905448615550995
5,0.005,5e-05,32,1,0.0011051150504499674,0.41635662317276,0.43377265334129333
8,0.01,0.0001,128,1,0.0011246602516621351,0.41745689511299133,0.4480198621749878
5,0.01,5e-05,32,3,0.0011547919129952788,0.41751062870025635,0.508108913898468
6,0.005,0.0001,64,1,0.0011561837745830417,0.4176352322101593,0.4330662786960602
5,0.005,5e-05,128,3,0.0011913005728274584,0.41788211464881897,0.48882222175598145
6,0.005,0.0001,64,3,0.0011438345536589622,0.4178991913795471,0.42277032136917114
7,0.005,5e-05,64,3,0.0011905174469575286,0.41814202070236206,0.4370177388191223
7,0.01,5e-05,64,3,0.0010698795085772872,0.4181464612483978,0.5156325697898865
6,0.001,5e-05,64,2,0.001186251174658537,0.4181676506996155,0.42388370633125305
5,0.001,0.0001,128,1,0.0011533439392223954,0.4183380603790283,0.4616565406322479
5,0.005,1e-05,128,1,0.001119228545576334,0.41892680525779724,0.4281553328037262
5,0.01,0.0001,64,1,0.0011346752289682627,0.41929319500923157,0.5427240133285522
6,0.01,5e-05,32,2,0.0011554587399587035,0.419342964887619,0.4963913559913635
8,0.001,5e-05,32,2,0.001096387393772602,0.41966381669044495,0.40661385655403137
6,0.01,5e-05,32,3,0.001172659802250564,0.42006146907806396,0.4643901288509369
6,0.01,0.0001,32,1,0.0011479039676487446,0.4200817048549652,0.43634232878685
5,0.005,0.0001,64,1,0.0012038100976496935,0.42025667428970337,0.4358289837837219
8,0.001,0.0001,64,2,0.001183575252071023,0.42042794823646545,0.409259557723999
8,0.01,0.0001,32,1,0.001160545740276575,0.4209042489528656,0.41632315516471863
7,0.01,0.0001,128,1,0.0011023249244317412,0.42095664143562317,0.5629398226737976
6,0.001,1e-05,64,1,0.001150318537838757,0.42096367478370667,0.4185604453086853
6,0.01,1e-05,128,3,0.0011211036471650004,0.42104485630989075,0.4727357029914856
8,0.01,1e-05,64,3,0.0011773298028856516,0.4217436909675598,0.4704151451587677
6,0.01,1e-05,64,3,0.0011676100548356771,0.42182162404060364,0.43817636370658875
5,0.001,1e-05,64,2,0.001135907950811088,0.42201000452041626,0.4386981129646301
6,0.01,5e-05,64,3,0.0011976161040365696,0.4220598638057709,0.44597968459129333
5,0.005,1e-05,64,2,0.0011117205722257495,0.42215797305107117,0.4737164080142975
8,0.001,0.0001,128,1,0.0011750479461625218,0.42260363698005676,0.44607895612716675
5,0.01,5e-05,64,2,0.0011751337442547083,0.4228397011756897,0.5540503263473511
7,0.01,5e-05,32,1,0.0012482578167691827,0.42290979623794556,0.4905918836593628
7,0.01,1e-05,64,3,0.0011942788260057569,0.42301931977272034,0.420723557472229
6,0.01,1e-05,128,1,0.0011463764822110534,0.42318472266197205,0.6141484975814819
5,0.01,5e-05,32,1,0.0011872787727043033,0.4232338070869446,0.44266435503959656
6,0.001,1e-05,32,1,0.0012394929071888328,0.4234723746776581,0.41242536902427673
7,0.001,0.0001,32,3,0.0012107504298910499,0.4237516224384308,0.43860673904418945
7,0.001,0.0001,128,1,0.0011628022184595466,0.4240535795688629,0.40251055359840393
5,0.001,0.0001,64,2,0.0011759352637454867,0.4242386519908905,0.4549559950828552
5,0.005,5e-05,128,2,0.0011648930376395583,0.4243021309375763,0.4784342646598816
7,0.001,1e-05,32,2,0.001194135518744588,0.424337774515152,0.4354996085166931
6,0.005,5e-05,64,2,0.0011705891229212284,0.4249004125595093,0.5059638619422913
5,0.001,1e-05,128,3,0.001229737652465701,0.42546790838241577,0.44902175664901733
7,0.01,5e-05,64,2,0.0011961987474933267,0.4256558418273926,0.4973457455635071
6,0.005,1e-05,32,2,0.0011546630412340164,0.4261661767959595,0.47378313541412354
6,0.001,1e-05,64,3,0.0011888211593031883,0.42644160985946655,0.4252932667732239
6,0.005,1e-05,128,2,0.001150714815594256,0.42653414607048035,0.42038464546203613
6,0.001,5e-05,128,1,0.0011561892461031675,0.4267837405204773,0.4035395681858063
5,0.005,0.0001,32,3,0.0011992400977760553,0.4270455241203308,0.45593729615211487
5,0.01,5e-05,64,1,0.0011880302336066961,0.42729559540748596,0.4608341455459595
7,0.001,1e-05,32,3,0.0012473128736019135,0.42732521891593933,0.42406588792800903
5,0.005,1e-05,128,3,0.0011722621275112033,0.4277559220790863,0.5813480615615845
6,0.001,0.0001,32,2,0.001196593977510929,0.42778000235557556,0.4201940894126892
6,0.001,1e-05,64,2,0.0012398617109283805,0.42796850204467773,0.4062792658805847
8,0.01,1e-05,128,3,0.001201330334879458,0.4281051456928253,0.6506897211074829
5,0.01,1e-05,32,1,0.00115818134509027,0.4283779561519623,0.4289284646511078
8,0.001,0.0001,128,2,0.0011870553717017174,0.42859509587287903,0.4442107379436493
5,0.005,0.0001,64,2,0.0011909350287169218,0.4287629723548889,0.4739857017993927
5,0.001,5e-05,128,3,0.0012489630607888103,0.42928624153137207,0.4760356545448303
8,0.01,0.0001,32,3,0.0011788815027102828,0.42946377396583557,0.609049916267395
7,0.001,0.0001,128,2,0.0011609201319515705,0.42996078729629517,0.44059041142463684
6,0.005,5e-05,64,1,0.0012189589906483889,0.43042200803756714,0.4658373296260834
6,0.005,5e-05,128,3,0.0012652045115828514,0.430611789226532,0.4751141369342804
7,0.001,5e-05,32,1,0.001225210027769208,0.4312310516834259,0.44701918959617615
6,0.01,1e-05,64,1,0.0012301754904910922,0.43126028776168823,0.44146808981895447
7,0.005,5e-05,128,3,0.0012752478942275047,0.4314001798629761,0.4844508171081543
8,0.01,5e-05,64,2,0.0012070615775883198,0.431490957736969,0.504944920539856
6,0.01,0.0001,128,2,0.0012368884636089206,0.43178388476371765,0.4367804229259491
8,0.001,1e-05,128,3,0.0012944843620061874,0.4323650598526001,0.41250792145729065
5,0.005,0.0001,128,1,0.0012139411410316825,0.43267834186553955,0.5404698848724365
8,0.01,1e-05,32,3,0.001233138726092875,0.43308740854263306,0.5543621182441711
5,0.005,1e-05,32,1,0.0012305083218961954,0.43316274881362915,0.47076615691185
8,0.005,5e-05,128,1,0.001202370971441269,0.43349912762641907,0.3846680521965027
6,0.001,0.0001,64,1,0.0012595388107001781,0.43395835161209106,0.40613114833831787
5,0.005,0.0001,32,2,0.0012038368731737137,0.4343360662460327,0.4884769916534424
5,0.005,1e-05,32,2,0.0012117609148845077,0.4345041811466217,0.4868139326572418
6,0.01,0.0001,64,1,0.0012191430432721972,0.4349101185798645,0.4027576446533203
7,0.01,0.0001,32,3,0.0013113711029291153,0.4349389374256134,0.4332548975944519
5,0.001,5e-05,64,3,0.0012639483902603388,0.43497341871261597,0.4611876904964447
5,0.001,5e-05,32,2,0.0011937929084524512,0.43512704968452454,0.4680517911911011
6,0.01,5e-05,32,1,0.0012207388645038009,0.43596500158309937,0.46042999625205994
6,0.001,1e-05,128,1,0.001209485693834722,0.4366574287414551,0.4057729244232178
5,0.01,0.0001,32,3,0.0012852117652073503,0.43756404519081116,0.48269322514533997
5,0.001,1e-05,64,1,0.001272579305805266,0.4385039210319519,0.4812741279602051
7,0.001,0.0001,32,1,0.0013001170009374619,0.4385318458080292,0.46377891302108765
5,0.01,5e-05,32,2,0.0012592403218150139,0.4385814666748047,0.6044628620147705
5,0.001,0.0001,64,3,0.0013282857835292816,0.4387592077255249,0.4694337248802185
8,0.001,0.0001,64,3,0.0013171512400731444,0.43930840492248535,0.40885135531425476
5,0.001,5e-05,128,2,0.001263139769434929,0.43970319628715515,0.4772402346134186
