K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
6,0.005,5e-05,32,1,0.35703107714653015,0.519941508769989
8,0.001,1e-05,128,3,0.3678661286830902,0.5200480222702026
7,0.01,0.0001,32,1,0.3697771430015564,0.520937442779541
8,0.001,5e-05,128,2,0.36035722494125366,0.5209454894065857
6,0.005,5e-05,64,1,0.3678797781467438,0.5210733413696289
5,0.005,5e-05,128,3,0.4043569564819336,0.5211076736450195
8,0.005,0.0005,32,2,0.3728315234184265,0.5211549401283264
7,0.005,0.0005,128,3,0.40955543518066406,0.5215612053871155
5,0.005,0.0005,32,3,0.41148027777671814,0.5216399431228638
6,0.005,0.0001,32,2,0.39110034704208374,0.521867573261261
7,0.01,5e-05,32,3,0.3655003607273102,0.521905779838562
8,0.001,0.0005,32,3,0.38753730058670044,0.5219119191169739
5,0.01,0.0005,32,3,0.38297197222709656,0.5220092535018921
7,0.005,0.0005,64,3,0.37925922870635986,0.5220293998718262
7,0.01,0.0001,64,1,0.34535855054855347,0.5227063298225403
8,0.001,1e-05,64,1,0.3720848262310028,0.5228095650672913
8,0.005,0.0005,64,3,0.41545814275741577,0.5233215689659119
6,0.001,0.0001,32,2,0.3945249319076538,0.5234192609786987
8,0.01,0.0005,128,2,0.4027060270309448,0.5237711668014526
6,0.001,0.0005,32,2,0.4274241328239441,0.523887038230896
7,0.005,1e-05,128,1,0.3622805178165436,0.524060070514679
5,0.01,0.0005,32,1,0.41373521089553833,0.5240947008132935
5,0.001,0.0001,64,2,0.41388633847236633,0.5242021083831787
8,0.005,1e-05,64,1,0.37878918647766113,0.5242188572883606
6,0.001,1e-05,64,1,0.38874515891075134,0.5242317914962769
5,0.005,0.0005,32,2,0.3943800628185272,0.5246440172195435
7,0.005,0.0001,64,1,0.36017143726348877,0.5251637697219849
6,0.005,5e-05,128,1,0.363874614238739,0.5256810188293457
5,0.005,5e-05,128,1,0.3813640773296356,0.5257815718650818
5,0.005,5e-05,64,1,0.38865843415260315,0.5260039567947388
8,0.01,0.0001,64,1,0.3533027172088623,0.5260863900184631
6,0.005,0.0001,32,1,0.3889878988265991,0.5267184376716614
6,0.01,0.0005,64,2,0.4490954875946045,0.5271655917167664
7,0.005,0.0001,128,1,0.3637346923351288,0.5272930264472961
7,0.001,5e-05,64,3,0.3571658730506897,0.5273906588554382
6,0.001,1e-05,128,2,0.3655252456665039,0.5274829268455505
8,0.001,5e-05,64,3,0.3869224488735199,0.5275111198425293
6,0.001,0.0005,64,1,0.43725794553756714,0.5277215242385864
7,0.005,5e-05,128,1,0.3765782415866852,0.5277411341667175
6,0.001,5e-05,64,1,0.4067496061325073,0.5278615951538086
6,0.01,1e-05,64,1,0.3796858489513397,0.5278835296630859
5,0.001,0.0005,64,2,0.4431042969226837,0.5279736518859863
7,0.01,0.0005,128,3,0.4286971092224121,0.5279941558837891
8,0.01,0.0005,64,1,0.4018455743789673,0.528312087059021
6,0.01,0.0001,128,1,0.3664594888687134,0.5287011861801147
8,0.01,0.0005,32,2,0.3740144670009613,0.528718888759613
6,0.001,0.0001,32,3,0.37961506843566895,0.5287516713142395
6,0.01,0.0005,128,1,0.4104674458503723,0.5288684368133545
5,0.005,0.0001,128,2,0.3966471254825592,0.5293063521385193
7,0.005,0.0001,64,3,0.3727497160434723,0.5293191075325012
5,0.005,1e-05,64,1,0.3827677369117737,0.5294017195701599
7,0.001,5e-05,32,1,0.39284461736679077,0.5294268131256104
6,0.001,0.0001,64,1,0.37798142433166504,0.5295020937919617
6,0.01,0.0001,64,3,0.3921322226524353,0.5300652384757996
5,0.001,5e-05,32,2,0.38176465034484863,0.530099093914032
5,0.005,0.0001,64,2,0.40111929178237915,0.5301615595817566
6,0.005,1e-05,32,3,0.37807464599609375,0.5302974581718445
5,0.001,5e-05,64,1,0.40983402729034424,0.530356228351593
6,0.01,0.0005,64,1,0.40546488761901855,0.5306189656257629
6,0.005,0.0001,64,3,0.3782077729701996,0.5309287905693054
6,0.001,1e-05,128,3,0.3659643232822418,0.5311874151229858
6,0.005,0.0005,128,1,0.4105815291404724,0.5313140153884888
7,0.001,0.0001,64,1,0.3672940731048584,0.5318931937217712
5,0.001,0.0001,64,1,0.40877246856689453,0.5320236682891846
5,0.001,0.0001,64,3,0.3740723729133606,0.5321604013442993
7,0.005,0.0001,64,2,0.358417272567749,0.5321897864341736
7,0.01,5e-05,32,1,0.3735142946243286,0.5324230194091797
7,0.01,1e-05,64,1,0.34830570220947266,0.5324939489364624
7,0.001,1e-05,32,1,0.40771129727363586,0.5327483415603638
8,0.005,0.0001,128,2,0.35811448097229004,0.5328364968299866
6,0.01,0.0001,64,1,0.3670051693916321,0.5329774022102356
8,0.005,0.0005,128,1,0.3735698163509369,0.5329805016517639
5,0.001,0.0005,64,1,0.44654810428619385,0.5330883860588074
8,0.01,0.0001,32,3,0.3592265844345093,0.533232569694519
6,0.001,5e-05,128,3,0.38499319553375244,0.5335502624511719
5,0.005,5e-05,64,2,0.39450621604919434,0.5336673259735107
8,0.001,0.0001,32,2,0.3912365138530731,0.5338591933250427
7,0.005,5e-05,64,3,0.3550785481929779,0.5338702201843262
6,0.01,1e-05,64,2,0.3565065860748291,0.533934473991394
5,0.005,0.0001,64,1,0.3824872374534607,0.5343325734138489
8,0.001,5e-05,32,3,0.3698706030845642,0.5343629717826843
7,0.005,1e-05,32,1,0.3440345525741577,0.534437358379364
7,0.001,0.0005,32,2,0.44327616691589355,0.5345014929771423
5,0.001,0.0001,32,3,0.4317303001880646,0.5346004962921143
5,0.005,0.0001,32,1,0.39498424530029297,0.5346550941467285
5,0.005,1e-05,32,1,0.4186163544654846,0.5346745252609253
7,0.01,0.0005,64,1,0.39177465438842773,0.534826397895813
7,0.001,1e-05,64,3,0.35660600662231445,0.5348833799362183
5,0.001,1e-05,32,3,0.4033451974391937,0.5350855588912964
6,0.001,5e-05,32,2,0.3783566653728485,0.5351419448852539
6,0.005,0.0005,64,1,0.42180323600769043,0.5354359149932861
7,0.005,0.0005,128,1,0.38819003105163574,0.5355079770088196
8,0.005,1e-05,128,1,0.34764203429222107,0.5356782674789429
8,0.001,5e-05,32,1,0.3672225773334503,0.5356876850128174
8,0.01,0.0005,64,2,0.45257148146629333,0.5357422232627869
8,0.001,1e-05,128,2,0.36129093170166016,0.5357794761657715
8,0.01,0.0001,32,2,0.36320024728775024,0.5360521674156189
8,0.001,1e-05,64,3,0.3731333315372467,0.5361712574958801
7,0.01,5e-05,128,1,0.37120264768600464,0.5366563200950623
7,0.005,5e-05,64,1,0.39181071519851685,0.5367804765701294
5,0.001,0.0005,32,1,0.4292755424976349,0.5369766354560852
5,0.005,1e-05,128,2,0.3666582703590393,0.5372771620750427
8,0.001,1e-05,32,3,0.33980605006217957,0.5374510288238525
6,0.01,0.0001,32,2,0.3839457035064697,0.5378047227859497
6,0.005,0.0001,128,2,0.37077245116233826,0.5378106832504272
6,0.005,1e-05,128,2,0.38617977499961853,0.5383726358413696
8,0.005,0.0005,32,3,0.39077505469322205,0.5384156703948975
7,0.01,0.0001,32,2,0.35098129510879517,0.5385804772377014
5,0.01,0.0001,128,1,0.3979213833808899,0.5386170744895935
5,0.005,0.0005,64,1,0.42636048793792725,0.5387309193611145
8,0.005,0.0005,128,2,0.3853669762611389,0.5389961004257202
8,0.005,5e-05,32,1,0.3448173999786377,0.539084792137146
7,0.01,0.0001,64,3,0.3762027323246002,0.5391554236412048
8,0.001,0.0001,32,1,0.3682151734828949,0.5393011569976807
5,0.001,5e-05,32,3,0.4136348366737366,0.5393499135971069
8,0.001,5e-05,128,3,0.391861230134964,0.5394968390464783
8,0.001,0.0001,32,3,0.35935696959495544,0.5395113825798035
7,0.005,1e-05,64,2,0.3803487718105316,0.5395986437797546
8,0.005,0.0001,32,2,0.35232776403427124,0.5398784875869751
6,0.001,5e-05,32,1,0.42235735058784485,0.540028989315033
6,0.001,1e-05,32,1,0.42312562465667725,0.5400484800338745
7,0.005,1e-05,64,1,0.37111878395080566,0.5401996970176697
6,0.005,1e-05,64,1,0.37527206540107727,0.5404682159423828
5,0.005,5e-05,32,2,0.3914513885974884,0.5406460165977478
5,0.005,0.0005,64,3,0.407623291015625,0.5407826900482178
5,0.01,5e-05,64,1,0.395589679479599,0.5411278009414673
7,0.005,5e-05,128,2,0.38122880458831787,0.5412541627883911
8,0.001,0.0001,64,3,0.3610280156135559,0.5412921905517578
5,0.005,1e-05,128,3,0.4138126075267792,0.5412986278533936
6,0.005,5e-05,128,2,0.38235265016555786,0.5413506031036377
6,0.005,5e-05,32,3,0.3887363076210022,0.541352391242981
5,0.001,1e-05,32,2,0.3971298038959503,0.5415052771568298
5,0.001,1e-05,128,2,0.3912063539028168,0.5417808294296265
7,0.01,5e-05,64,1,0.35854947566986084,0.5419144034385681
7,0.001,1e-05,64,1,0.37995317578315735,0.5421462059020996
8,0.005,1e-05,32,1,0.37567806243896484,0.5422841906547546
5,0.005,1e-05,32,3,0.3960239887237549,0.542452335357666
5,0.001,5e-05,128,3,0.40936899185180664,0.5426622033119202
6,0.01,0.0005,32,2,0.38976582884788513,0.5427238345146179
8,0.001,1e-05,32,2,0.3988955318927765,0.5428993701934814
