K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
7,0.01,5e-05,128,3,0.40456002950668335,0.6434310078620911
5,0.01,0.0001,128,2,0.4136836528778076,0.6495872735977173
8,0.01,1e-05,128,3,0.3603307604789734,0.6581385135650635
5,0.005,1e-05,64,3,0.3836400508880615,0.6601419448852539
6,0.01,0.0005,128,3,0.5247814655303955,0.6632475852966309
5,0.01,0.0005,128,3,0.4514808654785156,0.6636937856674194
8,0.01,1e-05,128,2,0.36122608184814453,0.6658153533935547
8,0.01,5e-05,64,3,0.37758669257164,0.6935637593269348
8,0.01,0.0005,32,3,0.39697760343551636,0.7079258561134338
5,0.01,0.0001,128,3,0.42142394185066223,0.7501625418663025
7,0.01,0.0005,128,2,0.40661880373954773,0.7711498737335205
6,0.01,1e-05,32,3,0.3855210542678833,0.818403422832489
