lr,weight_decay,hidden_channels,dropout,val_loss,val_avg_distance,test_avg_distance
0.001,1e-05,64,0.2,0.0021329177543520927,0.5867129564285278,0.55729616
0.005,0.0005,32,0.2,0.0018571761902421713,0.5408554077148438,0.5580953
0.005,1e-05,64,0.3,0.0023602284491062164,0.6184662580490112,0.5593519
0.01,1e-05,64,0.3,0.0021808184683322906,0.5890069007873535,0.5599777
0.005,5e-05,32,0.2,0.0020640497095882893,0.572140097618103,0.5607582
0.001,0.0001,128,0.2,0.002301120199263096,0.6232345104217529,0.56084144
0.01,1e-05,32,0.2,0.0022919862531125546,0.6106574535369873,0.5662452
0.001,1e-05,32,0.1,0.001908602425828576,0.5569435954093933,0.5683076
0.01,0.0005,128,0.2,0.00200098380446434,0.5609732866287231,0.5684631
0.01,0.0005,128,0.3,0.002187355887144804,0.5908269882202148,0.56934536
0.005,0.0005,64,0.3,0.0025070728734135628,0.6106560230255127,0.57103485
0.01,1e-05,32,0.1,0.0016228456515818834,0.49878430366516113,0.57188624
0.005,1e-05,32,0.1,0.001836314331740141,0.5291827917098999,0.5719569
0.001,0.0001,32,0.1,0.0018925892654806376,0.5428208708763123,0.57465833
0.01,1e-05,32,0.3,0.002628972753882408,0.6505937576293945,0.5768362
0.001,5e-05,32,0.1,0.001921716844663024,0.5563317537307739,0.5770314
0.001,5e-05,128,0.2,0.0023274500854313374,0.6218823194503784,0.5773752
0.001,0.0005,64,0.3,0.0025925764348357916,0.6406893134117126,0.57816607
0.01,0.0001,128,0.3,0.0017818913329392672,0.5387496948242188,0.5804649
0.01,0.0005,64,0.2,0.0021903763990849257,0.5792433023452759,0.584956
0.01,0.0005,32,0.2,0.0020898410584777594,0.5730550289154053,0.5876134
0.005,0.0005,64,0.2,0.0020180121064186096,0.562815248966217,0.58869845
0.005,0.0005,128,0.3,0.0020586648024618626,0.5744324922561646,0.5887051
0.001,5e-05,64,0.3,0.0023509832099080086,0.6106839179992676,0.5905017
0.01,1e-05,128,0.3,0.0017548887990415096,0.5378558039665222,0.59268206
0.005,5e-05,32,0.1,0.0017451257444918156,0.525097131729126,0.5964518
0.005,0.0001,32,0.3,0.0024333172477781773,0.6272388696670532,0.59886426
0.001,1e-05,64,0.3,0.0023438450880348682,0.6135315895080566,0.599117
0.01,5e-05,64,0.2,0.002019585110247135,0.5671374797821045,0.60284257
0.005,0.0005,32,0.3,0.002456872258335352,0.6253914833068848,0.60533816
0.01,0.0005,64,0.3,0.002498202957212925,0.6377090215682983,0.60549337
0.01,0.0001,64,0.2,0.001842816243879497,0.5437482595443726,0.6130173
0.01,0.0005,32,0.3,0.002374563831835985,0.6241023540496826,0.6199505
0.001,0.0001,32,0.2,0.002565413247793913,0.6351932287216187,0.6215566
